Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
NTNG1		1p13.3	HOMDEL	215	20261	1.1%	No
SOX9		17q24.3	HOMDEL	99	20261	0.5%	Yes
KDM5C		Xp11.22	AMP	389	20261	1.9%	Yes
CSF3R		1p34.3	HOMDEL	482	20261	2.4%	Yes
MYCNUT		2p24.3	HOMDEL	70	20261	0.3%	No
C1ORF109		1p34.3	HOMDEL	294	20261	1.5%	No
RSRC2		12q24.31	AMP	507	20261	2.5%	No
NALCN		13q32.3-q33.1	HOMDEL	291	20261	1.4%	No
PDZD2		5p13.3	HOMDEL	57	20261	0.3%	No
HSF2BP		21q22.3	AMP	510	20261	2.5%	No
COL27A1		9q32	AMP	146	20261	0.7%	No
ARID1B		6q25.3	HOMDEL	652	20261	3.2%	Yes
CBLB		3q13.11	HOMDEL	113	20261	0.6%	Yes
QSER1		11p13	HOMDEL	155	20261	0.8%	No
RBM10		Xp11.3	AMP	338	20261	1.7%	Yes
LINC02405		12q24.32	HOMDEL	113	20261	0.6%	No
ZNF217		20q13.2	HOMDEL	52	20261	0.3%	Yes
LINC02511		4q28.3	HOMDEL	205	20261	1.0%	No
FGF19		11q13.3	HOMDEL	295	20261	1.5%	Yes
COL26A1		7q22.1	AMP	782	20261	3.9%	No
SLIT3		5q34-q35.1	HOMDEL	139	20261	0.7%	Yes
SERGEF		11p15.1	HOMDEL	177	20261	0.9%	No
PDZRN3		3p13	HOMDEL	426	20261	2.1%	No
MYCNOS		2p24.3	AMP	193	20261	1.0%	No
FAT3		11q14.3	AMP	503	20261	2.5%	No
EGFEM1P		3q26.2	AMP	360	20261	1.8%	No
MLH3		14q24.3	AMP	387	20261	1.9%	Yes
TCF12		15q21.3	HOMDEL	197	20261	1.0%	Yes
TEX14		17q22	HOMDEL	70	20261	0.3%	No
TAF3		10p14	HOMDEL	374	20261	1.8%	No
PRR16		5q23.1	HOMDEL	121	20261	0.6%	No
SMC1A		Xp11.22	AMP	363	20261	1.8%	Yes
PARD3		10p11.22-p11.21	HOMDEL	274	20261	1.4%	No
SLITRK6		13q31.1	HOMDEL	481	20261	2.4%	No
MPC2		1q24.2	HOMDEL	23	20261	0.1%	No
STXBP5		6q24.3	HOMDEL	353	20261	1.7%	No
DDX31		9q34.13	AMP	218	20261	1.1%	No
NDRG4		16q21	HOMDEL	220	20261	1.1%	No
ALDH1L1-AS2		3q21.3	HOMDEL	151	20261	0.7%	No
PACSIN2		22q13.2	AMP	142	20261	0.7%	No
RSPH9		6p21.1	AMP	269	20261	1.3%	No
ME1		6q14.2	AMP	48	20261	0.2%	No
BABAM2		2p23.2	AMP	217	20261	1.1%	No
MACROD2		20p12.1	HOMDEL	213	20261	1.1%	No
SH2B3		12q24.12	HOMDEL	182	20261	0.9%	Yes
ANKRD11		16q24.3	AMP	281	20261	1.4%	Yes
GPC5		13q31.3	HOMDEL	306	20261	1.5%	No
TMEM237		2q33.1	HOMDEL	43	20261	0.2%	No
LINC02073		17q21.33	AMP	424	20261	2.1%	No
JAKMIP2		5q32	HOMDEL	99	20261	0.5%	No
TFEB		6p21.1	HOMDEL	184	20261	0.9%	Yes
TENM2		5q34	AMP	270	20261	1.3%	No
PIK3CB		3q22.3	HOMDEL	117	20261	0.6%	Yes
ADCY2		5p15.31	HOMDEL	99	20261	0.5%	No
CEP290		12q21.32	AMP	181	20261	0.9%	No
ISX		22q12.3	AMP	138	20261	0.7%	No
UTP20		12q23.2	AMP	220	20261	1.1%	No
PTPRD		9p24.1-p23	HOMDEL	921	20261	4.5%	Yes
LHFPL6		13q13.3-q14.11	AMP	213	20261	1.1%	No
FBLN2		3p25.1	HOMDEL	174	20261	0.9%	No
FTX		Xq13.2	AMP	31	20261	0.2%	No
DLG2		11q14.1	AMP	335	20261	1.7%	No
TRAF7		16p13.3	AMP	815	20261	4.0%	Yes
CACNA1S		1q32.1	HOMDEL	34	20261	0.2%	No
ROR2		9q22.31	HOMDEL	168	20261	0.8%	No
LUZP2		11p14.3	AMP	121	20261	0.6%	No
NOVA1		14q12	HOMDEL	164	20261	0.8%	No
STK32A		5q32	HOMDEL	136	20261	0.7%	No
SUZ12		17q11.2	AMP	439	20261	2.2%	Yes
RBM11		21q11.2	AMP	177	20261	0.9%	No
TGFBR2		3p24.1	AMP	200	20261	1.0%	Yes
NRG3		10q23.1	AMP	158	20261	0.8%	No
RASA1		5q14.3	AMP	302	20261	1.5%	Yes
COL28A1		7p21.3	HOMDEL	57	20261	0.3%	No
SLCO3A1		15q26.1	HOMDEL	133	20261	0.7%	No
ERBB4		2q34	HOMDEL	193	20261	1.0%	Yes
PRKACB		1p31.1	HOMDEL	336	20261	1.7%	No
FXN		9q21.11	HOMDEL	204	20261	1.0%	No
ARFRP1		20q13.33	HOMDEL	120	20261	0.6%	Yes
HIPK4		19q13.2	HOMDEL	180	20261	0.9%	No
FOXN3		14q31.3-q32.11	HOMDEL	443	20261	2.2%	No
TBC1D4		13q22.2	AMP	252	20261	1.2%	No
RBFOX1		16p13.3	HOMDEL	175	20261	0.9%	No
RASA2		3q23	AMP	628	20261	3.1%	No
TARID		6q23.2	AMP	159	20261	0.8%	No
EEPD1		7p14.2	HOMDEL	79	20261	0.4%	No
CCNF		16p13.3	HOMDEL	177	20261	0.9%	No
RALGPS1		9q33.3	HOMDEL	186	20261	0.9%	No
RAPGEF4		2q31.1	HOMDEL	52	20261	0.3%	No
CASC11		8q24.21	HOMDEL	60	20261	0.3%	No
PRR7-AS1		5q35.3	AMP	358	20261	1.8%	No
LHFPL2		5q14.1	AMP	179	20261	0.9%	No
ARL6		3q11.2	AMP	171	20261	0.8%	No
MYBPC1		12q23.2	HOMDEL	77	20261	0.4%	No
FAM155A		13q33.3	HOMDEL	510	20261	2.5%	No
CSF1R		5q32	AMP	401	20261	2.0%	Yes
RER1		1p36.32	AMP	194	20261	1.0%	No
TRPC1		3q23	AMP	267	20261	1.3%	No
ABHD17C		15q25.1	HOMDEL	107	20261	0.5%	No
WRN		8p12	AMP	418	20261	2.1%	Yes
CD3EAP		19q13.32	AMP	272	20261	1.3%	No
CD274		9p24.1	AMP	416	20261	2.1%	Yes
KCNB2		8q21.11	AMP	490	20261	2.4%	No
BOP1		8q24.3	HOMDEL	63	20261	0.3%	No
PKHD1		6p12.3-p12.2	HOMDEL	82	20261	0.4%	No
ABLIM3		5q32	AMP	228	20261	1.1%	No
SPAG16		2q34	HOMDEL	85	20261	0.4%	No
LINC01722		20p12.1	HOMDEL	105	20261	0.5%	No
SLC25A28		10q24.2	HOMDEL	454	20261	2.2%	No
GNA11		19p13.3	AMP	577	20261	2.8%	Yes
FIP1L1		4q12	AMP	326	20261	1.6%	Yes
ANP32A		15q23	HOMDEL	108	20261	0.5%	No
SLCO3A1		15q26.1	AMP	234	20261	1.2%	No
NLGN4X		Xp22.32-p22.31	HOMDEL	541	20261	2.7%	No
SOX2		3q26.33	AMP	628	20261	3.1%	Yes
EP300		22q13.2	AMP	304	20261	1.5%	Yes
CADPS		3p14.2	AMP	92	20261	0.5%	No
ANKS1B		12q23.1	HOMDEL	97	20261	0.5%	No
PRICKLE2		3p14.1	AMP	100	20261	0.5%	No
MBD2		18q21.2	HOMDEL	329	20261	1.6%	No
AMMECR1		Xq23	AMP	49	20261	0.2%	No
TTYH1		19q13.42	HOMDEL	432	20261	2.1%	No
TTC23L		5p13.2	HOMDEL	49	20261	0.2%	No
BEND7		10p13	AMP	178	20261	0.9%	No
PVT1		8q24.21	HOMDEL	43	20261	0.2%	No
USP30		12q24.11	HOMDEL	80	20261	0.4%	No
HOXB13		17q21.32	AMP	726	20261	3.6%	Yes
LDLRAD3		11p13	AMP	108	20261	0.5%	No
SACS		13q12.12	AMP	222	20261	1.1%	No
THBS4		5q14.1	AMP	183	20261	0.9%	No
COX10-AS1		17p12	HOMDEL	343	20261	1.7%	No
WDR59		16q23.1	HOMDEL	220	20261	1.1%	No
TSLP		5q22.1	HOMDEL	133	20261	0.7%	No
AR		Xq12	HOMDEL	575	20261	2.8%	Yes
TMEM178B		7q34	HOMDEL	92	20261	0.5%	No
ARL6		3q11.2	HOMDEL	115	20261	0.6%	No
CNTN1		12q12	AMP	279	20261	1.4%	No
MYCNUT		2p24.3	AMP	269	20261	1.3%	No
DNHD1		11p15.4	HOMDEL	230	20261	1.1%	No
DEFB116		20q11.21	HOMDEL	31	20261	0.2%	No
PAX8		2q14.1	HOMDEL	81	20261	0.4%	Yes
RPSAP58		19p12	HOMDEL	155	20261	0.8%	No
SNTG1		8q11.21	HOMDEL	62	20261	0.3%	No
MAP4		3p21.31	HOMDEL	211	20261	1.0%	No
MGST2		4q31.1	AMP	106	20261	0.5%	No
TENM4		11q14.1	AMP	290	20261	1.4%	No
KCNH7		2q24.2	AMP	129	20261	0.6%	No
RABEPK		9q33.3	HOMDEL	189	20261	0.9%	No
TLN2		15q22.2	AMP	93	20261	0.5%	No
TMEM154		4q31.3	HOMDEL	152	20261	0.8%	No
AMBRA1		11p11.2	HOMDEL	133	20261	0.7%	No
DOK6		18q22.2	AMP	312	20261	1.5%	No
BACH1		21q21.3	AMP	264	20261	1.3%	No
CNTN4		3p26.3-p26.2	HOMDEL	402	20261	2.0%	No
NFKBIA		14q13.2	HOMDEL	351	20261	1.7%	Yes
RBM47		4p14	AMP	284	20261	1.4%	No
MN1		22q12.1	HOMDEL	461	20261	2.3%	Yes
CLPB		11q13.4	HOMDEL	88	20261	0.4%	No
MGST1		12p12.3	AMP	262	20261	1.3%	No
PKD1L3		16q22.2	AMP	143	20261	0.7%	No
POT1		7q31.33	AMP	1365	20261	6.7%	Yes
ERC2		3p14.3	HOMDEL	260	20261	1.3%	No
ADCY8		8q24.22	HOMDEL	49	20261	0.2%	No
KEAP1		19p13.2	AMP	663	20261	3.3%	Yes
DANT2		Xq23	HOMDEL	186	20261	0.9%	No
RAD50		5q31.1	HOMDEL	274	20261	1.4%	Yes
GDPD4		11q13.5	AMP	205	20261	1.0%	No
GNAS		20q13.32	HOMDEL	76	20261	0.4%	Yes
UMODL1		21q22.3	HOMDEL	239	20261	1.2%	No
CNKSR3		6q25.2	AMP	121	20261	0.6%	No
VEGFA		6p21.1	HOMDEL	203	20261	1.0%	Yes
FLCN		17p11.2	HOMDEL	596	20261	2.9%	Yes
PIP5K1B		9q21.11	AMP	187	20261	0.9%	No
TPRG1		3q28	AMP	554	20261	2.7%	No
NXPH2		2q22.1	AMP	220	20261	1.1%	No
LRRTM3		10q21.3	HOMDEL	347	20261	1.7%	No
GABRA3		Xq28	HOMDEL	383	20261	1.9%	No
LINC00343		13q33.2	HOMDEL	269	20261	1.3%	No
MGMT		10q26.3	AMP	200	20261	1.0%	No
HERC2		15q13.1	AMP	54	20261	0.3%	No
GREM1		15q13.3	AMP	80	20261	0.4%	Yes
STIM2		4p15.2	HOMDEL	127	20261	0.6%	No
RYR1		19q13.2	HOMDEL	133	20261	0.7%	No
REL		2p16.1	HOMDEL	86	20261	0.4%	Yes
CAP1		1p34.2	AMP	159	20261	0.8%	No
HSD17B12		11p11.2	HOMDEL	174	20261	0.9%	No
BTRC		10q24.32	HOMDEL	436	20261	2.2%	No
BCKDHB		6q14.1	HOMDEL	246	20261	1.2%	No
STK39		2q24.3	AMP	155	20261	0.8%	No
SULT1C2P1		2q12.3	HOMDEL	39	20261	0.2%	No
INTS10		8p21.3	AMP	231	20261	1.1%	No
IKZF1		7p12.2	HOMDEL	170	20261	0.8%	Yes
SIRPD		20p13	HOMDEL	118	20261	0.6%	No
GUSBP11		22q11.23	AMP	102	20261	0.5%	No
APBB2		4p14-p13	HOMDEL	170	20261	0.8%	No
CCDC88A		2p16.1	AMP	154	20261	0.8%	No
BSN		3p21.31	AMP	85	20261	0.4%	No
OLFML1		11p15.4	AMP	70	20261	0.3%	No
ZFPM2-AS1		8q23.1	HOMDEL	57	20261	0.3%	No
LARS		5q32	AMP	135	20261	0.7%	No
CLPB		11q13.4	AMP	189	20261	0.9%	No
GRIK2		6q16.3	HOMDEL	274	20261	1.4%	No
SLC7A2		8p22	HOMDEL	488	20261	2.4%	No
MARCH1		4q32.2-q32.3	HOMDEL	165	20261	0.8%	No
BCL6		3q27.3	HOMDEL	182	20261	0.9%	Yes
TMSB15B		Xq22.2	HOMDEL	195	20261	1.0%	No
MSH6		2p16.3	AMP	384	20261	1.9%	Yes
PARD3B		2q33.3	HOMDEL	129	20261	0.6%	No
TCERG1L		10q26.3	AMP	114	20261	0.6%	No
DLGAP1		18p11.31	HOMDEL	172	20261	0.8%	No
MATN2		8q22.1-q22.2	HOMDEL	89	20261	0.4%	No
ADGRB3		6q12-q13	AMP	125	20261	0.6%	No
LINC01456		Xp22.13	AMP	70	20261	0.3%	No
ANXA11		10q22.3	AMP	138	20261	0.7%	No
COMMD10		5q23.1	HOMDEL	125	20261	0.6%	No
JAK3		19p13.11	AMP	681	20261	3.4%	Yes
UBR4		1p36.13	HOMDEL	204	20261	1.0%	No
GDAP1		8q21.11	HOMDEL	79	20261	0.4%	No
EGFR		7p11.2	HOMDEL	147	20261	0.7%	Yes
LRMDA		10q22.2-q22.3	HOMDEL	411	20261	2.0%	No
CNTNAP5		2q14.3	HOMDEL	65	20261	0.3%	No
NTRK3		15q25.3	AMP	326	20261	1.6%	Yes
SRPK2		7q22.3	HOMDEL	30	20261	0.1%	No
RALYL		8q21.2	HOMDEL	38	20261	0.2%	No
RET		10q11.21	HOMDEL	805	20261	4.0%	Yes
NRN1		6p25.1	AMP	230	20261	1.1%	No
AADAT		4q33	AMP	64	20261	0.3%	No
OTX2		14q22.3	AMP	181	20261	0.9%	No
TGFBR2		3p24.1	HOMDEL	423	20261	2.1%	Yes
RRAS2		11p15.2	AMP	207	20261	1.0%	Yes
C12ORF56		12q14.2	HOMDEL	59	20261	0.3%	No
NSUN3		3q11.2	AMP	211	20261	1.0%	No
MPRIP		17p11.2	AMP	97	20261	0.5%	No
MIR548AI		6q16.2	AMP	138	20261	0.7%	No
WDFY4		10q11.23	HOMDEL	369	20261	1.8%	No
RASA2		3q23	HOMDEL	216	20261	1.1%	No
TMEM237		2q33.1	AMP	152	20261	0.8%	No
FAM3D		3p14.2	HOMDEL	245	20261	1.2%	No
EML5		14q31.3	AMP	176	20261	0.9%	No
POU6F1		12q13.13	HOMDEL	83	20261	0.4%	No
SHROOM3		4q21.1	AMP	103	20261	0.5%	No
CLCN7		16p13.3	HOMDEL	225	20261	1.1%	No
C10ORF90		10q26.2	HOMDEL	481	20261	2.4%	No
PLCL2		3p24.3	HOMDEL	381	20261	1.9%	No
PLSCR4		3q24	AMP	396	20261	2.0%	No
NCAM2		21q21.1	HOMDEL	231	20261	1.1%	No
DLEC1		3p22.2	AMP	112	20261	0.6%	No
HSDL1		16q24.1	HOMDEL	282	20261	1.4%	No
LDAH		2p24.1	AMP	357	20261	1.8%	No
XKR3		22q11.1	AMP	99	20261	0.5%	No
MTUS2		13q12.3	HOMDEL	283	20261	1.4%	No
C20ORF85		20q13.32	HOMDEL	29	20261	0.1%	No
RNF43		17q22	AMP	880	20261	4.3%	Yes
PACRG		6q26	HOMDEL	702	20261	3.5%	No
CASC8		8q24.21	HOMDEL	58	20261	0.3%	No
MSH3		5q14.1	AMP	294	20261	1.5%	Yes
INO80C		18q12.2	HOMDEL	207	20261	1.0%	No
MAP4K3		2p22.1	HOMDEL	108	20261	0.5%	No
MIR4457		5p15.33	HOMDEL	203	20261	1.0%	No
CD3EAP		19q13.32	HOMDEL	280	20261	1.4%	No
NBEAL1		2q33.2	AMP	306	20261	1.5%	No
CPNE2		16q13	AMP	146	20261	0.7%	No
MBOAT1		6p22.3	HOMDEL	91	20261	0.4%	No
MTOR		1p36.22	AMP	275	20261	1.4%	Yes
ERC1		12p13.33	HOMDEL	69	20261	0.3%	Yes
ZNF276		16q24.3	AMP	223	20261	1.1%	No
LMBRD1		6q13	AMP	126	20261	0.6%	No
PREX2		8q13.2	AMP	1335	20261	6.6%	Yes
CLCA4		1p22.3	AMP	88	20261	0.4%	No
DRAM1		12q23.2	HOMDEL	89	20261	0.4%	No
ZMAT4		8p11.21	HOMDEL	161	20261	0.8%	No
MSH2		2p21-p16.3	AMP	458	20261	2.3%	Yes
COL1A1		17q21.33	AMP	717	20261	3.5%	Yes
NAV2		11p15.1	HOMDEL	358	20261	1.8%	No
ADAM23		2q33.3	AMP	147	20261	0.7%	No
ELOVL6		4q25	AMP	45	20261	0.2%	No
TMEM132C		12q24.32-q24.33	AMP	379	20261	1.9%	No
LINC00898		22q13.31	AMP	91	20261	0.4%	No
STPG2		4q22.3-q23	HOMDEL	151	20261	0.7%	No
LINC02299		14q32.2	AMP	203	20261	1.0%	No
TMEM127		2q11.2	AMP	182	20261	0.9%	Yes
SPON1		11p15.2	HOMDEL	199	20261	1.0%	No
WEE2		7q34	AMP	860	20261	4.2%	No
ITGA11		15q23	AMP	129	20261	0.6%	No
POU3F2		6q16.1	AMP	97	20261	0.5%	Yes
CSF1R		5q32	HOMDEL	265	20261	1.3%	Yes
CDH13		16q23.3	AMP	126	20261	0.6%	No
RAD51B		14q24.1	AMP	164	20261	0.8%	Yes
UPF2		10p14	AMP	179	20261	0.9%	No
SAMD12		8q24.11-q24.12	AMP	1240	20261	6.1%	No
SORL1		11q24.1	AMP	133	20261	0.7%	No
CTCF		16q22.1	AMP	564	20261	2.8%	Yes
EPB41L2		6q23.1-q23.2	AMP	147	20261	0.7%	No
SLC35D1		1p31.3	AMP	97	20261	0.5%	No
SPRED1		15q14	AMP	144	20261	0.7%	Yes
GRTP1		13q34	HOMDEL	296	20261	1.5%	No
LINC00229		22q13.31	HOMDEL	322	20261	1.6%	No
PAK1		11q13.5-q14.1	HOMDEL	229	20261	1.1%	Yes
SEPT3		22q13.2	AMP	159	20261	0.8%	No
CXCR4		2q22.1	AMP	248	20261	1.2%	Yes
GPSM3		6p21.32	AMP	381	20261	1.9%	No
ZMYM3		Xq13.1	HOMDEL	170	20261	0.8%	Yes
DEFB128		20p13	HOMDEL	112	20261	0.6%	No
MEF2B		19p13.11	HOMDEL	242	20261	1.2%	Yes
SOS1		2p22.1	AMP	393	20261	1.9%	Yes
LDLRAD4		18p11.21	AMP	386	20261	1.9%	No
DPYD		1p21.3	AMP	114	20261	0.6%	Yes
AK9		6q21	HOMDEL	380	20261	1.9%	No
LIFR		5p13.1	HOMDEL	40	20261	0.2%	Yes
VDAC1		5q31.1	AMP	192	20261	0.9%	No
SOX2		3q26.33	HOMDEL	83	20261	0.4%	Yes
SVIL		10p11.23	HOMDEL	283	20261	1.4%	No
ZNF2		2q11.1	AMP	303	20261	1.5%	No
RAD51D		17q12	AMP	245	20261	1.2%	Yes
ARHGEF18		19p13.2	HOMDEL	159	20261	0.8%	No
EPB42		15q15.2	AMP	74	20261	0.4%	No
RREB1		6p24.3	HOMDEL	103	20261	0.5%	No
CELF4		18q12.2	AMP	219	20261	1.1%	No
PLPP3		1p32.2	AMP	89	20261	0.4%	No
CDH12		5p14.3	AMP	342	20261	1.7%	No
CDON		11q24.2	AMP	157	20261	0.8%	No
LINC01164		10q26.3	HOMDEL	503	20261	2.5%	No
SOS2		14q21.3	AMP	369	20261	1.8%	No
ATP9A		20q13.2	HOMDEL	26	20261	0.1%	No
SULT1C2P1		2q12.3	AMP	161	20261	0.8%	No
WDR49		3q26.1	HOMDEL	87	20261	0.4%	No
ABCB11		2q31.1	HOMDEL	86	20261	0.4%	No
TSHZ3		19q12	AMP	267	20261	1.3%	No
MYOD1		11p15.1	HOMDEL	187	20261	0.9%	Yes
CTSL3P		9q21.33	AMP	184	20261	0.9%	No
COL21A1		6p12.1|6p12.3-p11.2	AMP	324	20261	1.6%	No
FUT8		14q23.3	HOMDEL	208	20261	1.0%	No
PLAG1		8q12.1	AMP	1270	20261	6.3%	Yes
PTPN5		11p15.1	AMP	120	20261	0.6%	No
PLB1		2p23.2	HOMDEL	52	20261	0.3%	No
RORB		9q21.13	HOMDEL	205	20261	1.0%	No
LHFPL3		7q22.2-q22.3	HOMDEL	51	20261	0.3%	No
IKZF3		17q12-q21.1	AMP	672	20261	3.3%	Yes
CDH20		18q21.33	HOMDEL	334	20261	1.6%	No
BICC1		10q21.1	AMP	123	20261	0.6%	No
FLT1		13q12.3	HOMDEL	532	20261	2.6%	Yes
STK4		20q13.12	AMP	738	20261	3.6%	No
PDZD2		5p13.3	AMP	738	20261	3.6%	No
SLC38A10		17q25.3	AMP	572	20261	2.8%	No
DPP6		7q36.2	AMP	825	20261	4.1%	No
SLC26A10		12q13.3	HOMDEL	50	20261	0.2%	No
CNDP1		18q22.3	AMP	208	20261	1.0%	No
RAF1		3p25.2	AMP	413	20261	2.0%	Yes
CASC8		8q24.21	AMP	1497	20261	7.4%	No
TRIM28		19q13.43	HOMDEL	195	20261	1.0%	No
SCFD2		4q12	HOMDEL	217	20261	1.1%	No
PRKCH		14q23.1	HOMDEL	193	20261	1.0%	No
KMT2D		12q13.12	AMP	524	20261	2.6%	Yes
CDH23		10q22.1	HOMDEL	725	20261	3.6%	No
LYPD6B		2q23.2	AMP	239	20261	1.2%	No
ZBTB8A		1p35.1	HOMDEL	176	20261	0.9%	No
DGKH		13q14.11	AMP	108	20261	0.5%	No
KHDRBS3		8q24.23	AMP	565	20261	2.8%	No
CASS4		20q13.31	AMP	835	20261	4.1%	No
KRIT1		7q21.2	AMP	881	20261	4.3%	No
GNA14		9q21.2	AMP	169	20261	0.8%	No
ATP2B2		3p25.3	HOMDEL	174	20261	0.9%	No
LINC01456		Xp22.13	HOMDEL	349	20261	1.7%	No
AMOTL1		11q21	HOMDEL	163	20261	0.8%	No
SDK2		17q25.1	HOMDEL	45	20261	0.2%	No
XG		Xp22.33	AMP	322	20261	1.6%	No
DRC7		16q21	HOMDEL	238	20261	1.2%	No
GNAQ		9q21.2	AMP	287	20261	1.4%	Yes
KMT2D		12q13.12	HOMDEL	168	20261	0.8%	Yes
FARP1		13q32.2	HOMDEL	239	20261	1.2%	No
BRINP3		1q31.1	AMP	311	20261	1.5%	No
MYBPC1		12q23.2	AMP	168	20261	0.8%	No
LINC01282		Xp11.4	HOMDEL	153	20261	0.8%	No
BEND2		Xp22.13	HOMDEL	174	20261	0.9%	No
RNF135		17q11.2	HOMDEL	128	20261	0.6%	No
ZFAT		8q24.22	AMP	1237	20261	6.1%	No
CHD2		15q26.1	HOMDEL	219	20261	1.1%	Yes
SCAPER		15q24.3	HOMDEL	151	20261	0.7%	No
ZNHIT3		17q12	AMP	191	20261	0.9%	No
THADA		2p21	AMP	407	20261	2.0%	No
MYBL1		8q13.1	AMP	1463	20261	7.2%	Yes
PAK5		20p12.2	HOMDEL	104	20261	0.5%	Yes
NPM1		5q35.1	AMP	474	20261	2.3%	Yes
AXL		19q13.2	HOMDEL	416	20261	2.1%	Yes
ELANE		19p13.3	HOMDEL	223	20261	1.1%	No
IKZF2		2q34	AMP	303	20261	1.5%	Yes
ST8SIA2		15q26.1	AMP	243	20261	1.2%	No
MRPL21		11q13.3	HOMDEL	97	20261	0.5%	No
LMNTD1		12p12.1	AMP	457	20261	2.3%	No
CDH9		5p14.1	AMP	338	20261	1.7%	No
PHTF2		7q11.23-q21.11	HOMDEL	43	20261	0.2%	No
SYNE1		6q25.2	AMP	94	20261	0.5%	No
EPCAM		2p21	AMP	805	20261	4.0%	Yes
MYCL		1p34.2	HOMDEL	440	20261	2.2%	Yes
SLC1A2		11p13	HOMDEL	183	20261	0.9%	Yes
NYAP2		2q36.3	AMP	121	20261	0.6%	No
CBR3		21q22.12	HOMDEL	76	20261	0.4%	No
PIK3CA		3q26.32	HOMDEL	162	20261	0.8%	Yes
PAX7		1p36.13	HOMDEL	623	20261	3.1%	Yes
PDE11A		2q31.2	AMP	302	20261	1.5%	No
DOCK3		3p21.2	HOMDEL	211	20261	1.0%	No
MYB		6q23.3	AMP	413	20261	2.0%	Yes
RECK		9p13.3	AMP	259	20261	1.3%	No
PDE4B		1p31.3	AMP	138	20261	0.7%	No
C11ORF65		11q22.3	HOMDEL	199	20261	1.0%	No
SMAD3		15q22.33	HOMDEL	257	20261	1.3%	Yes
IQGAP2		5q13.3	AMP	178	20261	0.9%	No
HRAS		11p15.5	HOMDEL	515	20261	2.5%	Yes
GTF3C5		9q34.13	AMP	164	20261	0.8%	No
ZDHHC3		3p21.31	HOMDEL	195	20261	1.0%	No
DOCK7		1p31.3	AMP	109	20261	0.5%	No
PRKACA		19p13.12	HOMDEL	396	20261	2.0%	Yes
CSGALNACT1		8p21.3	AMP	166	20261	0.8%	No
PTPRG		3p14.2	HOMDEL	250	20261	1.2%	No
RPL12		9q33.3	HOMDEL	187	20261	0.9%	No
ZNF331		19q13.42	HOMDEL	244	20261	1.2%	Yes
BRD4		19p13.12	AMP	751	20261	3.7%	Yes
EPS15L1		19p13.11	AMP	283	20261	1.4%	No
SDCCAG8		1q43-q44	HOMDEL	56	20261	0.3%	No
AP1S3		2q36.1	HOMDEL	96	20261	0.5%	No
MPP7		10p12.1	AMP	158	20261	0.8%	No
GRM3		7q21.11-q21.12	HOMDEL	88	20261	0.4%	Yes
FAM149B1		10q22.2	AMP	107	20261	0.5%	No
PHF6		Xq26.2	HOMDEL	554	20261	2.7%	Yes
P4HA3		11q13.4	AMP	272	20261	1.3%	No
CCDC12		3p21.31	AMP	85	20261	0.4%	No
NLGN1		3q26.31	HOMDEL	73	20261	0.4%	No
PIEZO2		18p11.22-p11.21	AMP	257	20261	1.3%	No
PDE4D		5q11.2-q12.1	AMP	299	20261	1.5%	No
ATR		3q23	HOMDEL	207	20261	1.0%	Yes
CSF3R		1p34.3	AMP	314	20261	1.5%	Yes
IMMP2L		7q31.1	HOMDEL	92	20261	0.5%	No
MS4A1		11q12.2	AMP	130	20261	0.6%	Yes
CNMD		13q14.3	AMP	194	20261	1.0%	No
RIT1		1q22	HOMDEL	46	20261	0.2%	Yes
THSD4		15q23	AMP	223	20261	1.1%	No
SULF1		8q13.2-q13.3	AMP	488	20261	2.4%	No
TCP11L1		11p13	HOMDEL	175	20261	0.9%	No
MB		22q12.3	HOMDEL	291	20261	1.4%	No
PRKCE		2p21	AMP	233	20261	1.1%	No
LINC00535		8q22.1	HOMDEL	95	20261	0.5%	No
ABL2		1q25.2	HOMDEL	63	20261	0.3%	Yes
GRIA1		5q33.2	HOMDEL	249	20261	1.2%	No
SLFN12L		17q12	AMP	240	20261	1.2%	No
LEF1		4q25	AMP	322	20261	1.6%	Yes
OTX2		14q22.3	HOMDEL	228	20261	1.1%	No
TSHZ3		19q12	HOMDEL	161	20261	0.8%	No
NEO1		15q24.1	HOMDEL	114	20261	0.6%	No
LHFPL6		13q13.3-q14.11	HOMDEL	353	20261	1.7%	No
PDE6C		10q23.33	AMP	78	20261	0.4%	No
MTTP		4q23	HOMDEL	151	20261	0.7%	No
MPC2		1q24.2	AMP	530	20261	2.6%	No
GDAP1		8q21.11	AMP	930	20261	4.6%	No
FLCN		17p11.2	AMP	311	20261	1.5%	Yes
GRIK4		11q23.3	HOMDEL	237	20261	1.2%	No
KIAA0825		5q15	AMP	186	20261	0.9%	No
IPO8		12p11.21	AMP	404	20261	2.0%	No
CLRN1-AS1		3q25.1	HOMDEL	101	20261	0.5%	No
DOCK9		13q32.3	AMP	291	20261	1.4%	No
DCAKD		17q21.31	AMP	741	20261	3.7%	No
ASTN1		1q25.2	HOMDEL	27	20261	0.1%	No
EFEMP1		2p16.1	AMP	219	20261	1.1%	No
CELF2		10p14	AMP	240	20261	1.2%	No
AOX3P-AOX2P		2q33.1	HOMDEL	61	20261	0.3%	No
STIM2		4p15.2	AMP	88	20261	0.4%	No
DCAKD		17q21.31	HOMDEL	200	20261	1.0%	No
